Id,Label,betweenesscentrality
0.0,Myriel,504
1.0,Napoleon,0
2.0,MlleBaptistine,0
3.0,MmeMagloire,0
4.0,CountessDeLo,0
5.0,Geborand,0
6.0,Champtercier,0
7.0,Cravatte,0
8.0,Count,0
9.0,OldMan,0
10.0,Labarre,0
11.0,Valjean,1624.4688
12.0,Marguerite,0
13.0,MmeDeR,0
14.0,Isabeau,0
15.0,Gervais,0
16.0,Tholomyes,115.793642
17.0,Listolier,0
18.0,Fameuil,0
19.0,Blacheville,0
20.0,Favourite,0
21.0,Dahlia,0
22.0,Zephine,0
23.0,Fantine,369.486942
24.0,MmeThenardier,82.656893
25.0,Thenardier,213.468481
26.0,Cosette,67.819322
27.0,Javert,154.844945
28.0,Fauchelevent,75.5
29.0,Bamatabois,22.916667
30.0,Perpetue,0
31.0,Simplice,24.624841
32.0,Scaufflaire,0
33.0,Woman1,0
34.0,Judge,0
35.0,Champmathieu,0
36.0,Brevet,0
37.0,Chenildieu,0
38.0,Cochepaille,0
39.0,Pontmercy,19.7375
40.0,Boulatruelle,0
41.0,Eponine,32.739519
42.0,Anzelma,0
43.0,Woman2,0
44.0,MotherInnocent,0
45.0,Gribier,0
46.0,Jondrette,0
47.0,MmeBurgon,75
48.0,Gavroche,470.570632
49.0,Gillenormand,57.600272
50.0,Magnon,0.619048
51.0,MlleGillenormand,135.656944
52.0,MmePontmercy,1
53.0,MlleVaubois,0
54.0,LtGillenormand,0
55.0,Marius,376.292593
56.0,BaronessT,0
57.0,Mabeuf,78.834524
58.0,Enjolras,121.277067
59.0,Combeferre,3.562915
60.0,Prouvaire,0
61.0,Feuilly,3.562915
62.0,Courfeyrac,15.011035
63.0,Bahorel,6.228642
64.0,Bossuet,87.647903
65.0,Joly,6.228642
66.0,Grantaire,0.428571
67.0,MotherPlutarch,0
68.0,Gueulemer,14.137094
69.0,Babet,14.137094
70.0,Claquesous,13.856142
71.0,Montparnasse,11.040415
72.0,Toussaint,0
73.0,Child1,0
74.0,Child2,0
75.0,Brujon,1.25
76.0,MmeHucheloup,0
